date,index_point,weekly_return,fx_rate,fx_return,index_point_krw,weekly_return_krw,component_count,core_count,satellite_count,top3_contributors,satellite_method,phase
2023-01-09,1666.866624785632,0.0568887116156018,1239.1300048828125,-0.027507924587302113,1783.9406676240899,0.027815896639308946,100,50,50,"TSLA(+1.59%), SOXL(+1.12%), TQQQ(+0.96%)",SYMMETRIC,1
2023-01-16,1726.4715068877035,0.0357586391231134,1232.1800537109375,-0.005608734470546772,1837.3685202485603,0.029949343940697037,100,50,50,"TSLA(+1.68%), GNS(+1.15%), NVDA(+0.26%)",SYMMETRIC,1
2023-01-23,1905.3904107095864,0.1036327000521535,1231.8499755859375,-0.0002678814058106882,2027.2367764407654,0.10333705737296484,100,50,50,"TSLA(+6.17%), SOXL(+1.04%), TQQQ(+1.03%)",SYMMETRIC,1
2023-01-30,1975.2503578539663,0.0366643742677194,1224.9000244140625,-0.005641881162167683,2089.7073691844275,0.03081563706304813,100,50,50,"TSLA(+1.36%), SOXL(+0.80%), TQQQ(+0.67%)",SYMMETRIC,1
2023-02-06,1953.1990918528008,-0.0111637828154217,1264.550048828125,0.03237000867318063,2133.2670144301724,0.020844854111198075,100,50,50,"TSLA(+0.80%), SOXS(+0.25%), SQQQ(+0.24%)",SYMMETRIC,1
2023-02-13,1986.5695339983224,0.0170850182578504,1288.9599609375,0.019303239228843472,2211.596427182682,0.03671805368135428,100,50,50,"TSLA(+1.40%), KOLD(+0.10%), AAPL(+0.10%)",SYMMETRIC,1
2023-02-20,1913.110083990569,-0.0369780411662223,1298.0799560546875,0.007075468124358331,2144.885368132409,-0.03016420999343672,100,50,50,"NVDA(+0.51%), SQQQ(+0.32%), SOXS(+0.20%)",SYMMETRIC,1
2023-02-27,1959.0349875936208,0.0240053638247813,1311.06005859375,0.009999463036555634,2218.3366836018326,0.0342448676095819,100,50,50,"TQQQ(+0.50%), SOXL(+0.42%), BOIL(+0.27%)",SYMMETRIC,1
2023-03-06,1840.1824375271635,-0.0606689267007171,1325.550048828125,0.011052117818246332,2106.7824569424247,-0.05028732900827371,100,50,50,"SQQQ(+0.40%), SOXS(+0.35%), KOLD(+0.16%)",SYMMETRIC,1
2023-03-13,1923.792174558618,0.0454355694991902,1301.6199951171875,-0.018052923563386614,2162.743657536396,0.026562401072575792,100,50,50,"TQQQ(+1.11%), TSLA(+0.88%), SOXL(+0.76%)",SYMMETRIC,1
