isin,ticker,event_date,event_type,ratio,old_ticker,new_ticker,note,Unnamed: 8
US6873051022,ORPH,2023-01-01,DELISTED,,,,Orphazyme Nasdaq delisted after FDA rejection. Process last valid Return Price,
US6952631033,PACW,2023-11-30,MERGER_STOCK,,PACW,BANC,PacWest Bancorp merged into Banc of California. Completed 2023-11-30. All-stock merger. Connect to BANC data or remove after merger date,
US74319F1075,PROG,2022-06-01,DELISTED,,,,Progenity Nasdaq delisted. Financial deterioration. Process last valid Return Price,
US74374T1097,PTRA,2023-06-01,DELISTED,,,,Proterra Nasdaq delisted after bankruptcy 2023. Process last valid Return Price,
US88636V6526,RGTD,,,NO_DATA,,,,No data. Small derivative product. Use custody data period only then remove
US87105M1027,SBE,2021-03-04,TICKER_CHANGE,,SBE,CHPT,Switchback Energy Acquisition merged into ChargePoint Holdings. Completed 2021-02-26. Connect to CHPT data,
KYG807511293,SGOC,2022-06-01,DELISTED,,,,SGOCO Group Nasdaq delisted. Process last valid Return Price,
US46143U4922,SMRU,,,NO_DATA,,,,No data. Small stock. Use custody data period only then remove
US46152A6689,SNDU,,,NO_DATA,,,,No data. Small stock. Use custody data period only then remove
KYG8651P1101,SPI,2021-06-01,DELISTED,,,,SPI Energy delisted or moved to OTC. Process last valid Return Price,
US86858W2008,SPRT,2021-10-01,MERGER_STOCK,,SPRT,GREE,Support.com merged into Greenidge Generation Holdings. Completed 2021-09-14. Connect to GREE data or remove after merger date,
US8522341036,SQ,2022-12-01,TICKER_CHANGE,,SQ,XYZ,Square Inc renamed to Block Inc. Ticker changed SQ to XYZ from 2022-12-01. Same ISIN. Connect to XYZ data. Note: some sources still show SQ,
US86803X2045,SUNW,2023-01-01,DELISTED,,,,Sunworks Nasdaq delisted. Financial deterioration. Process last valid Return Price,
US89102U1034,TRCH,2021-08-23,MERGER_STOCK,,TRCH,MMAT,Torchlight Energy merged into Meta Materials. Completed 2021-06-28. Connect to MMAT data,
US89689F3055,TRKA,2023-06-01,DELISTED,,,,Troika Media Group Nasdaq delisted. Process last valid Return Price,
US46144X1239,TSLB,,,NO_DATA,,,,No data. Tesla-related derivative ETF or small product. Use custody data period only then remove
US8998961044,TUP,2023-09-18,DELISTED,,,,Tupperware Brands filed bankruptcy and NYSE delisted 2023-09-18. Stock value effectively $0. Process last valid Return Price,
US90184L1026,TWTR,2022-10-27,MERGER_CASH,54.2,TWTR,,Twitter acquired by Elon Musk at $54.20 per share cash. Delisted 2022-10-27. Last Return Price=$54.20,
US3842781078,VLDR,2023-02-10,MERGER_STOCK,,VLDR,OUST,Velodyne Lidar merged with Ouster. Completed 2023-02-10. Connect to OUST data or remove after merger date. Note: LAZR is same merger,
US92534K1079,VTNR,2023-06-01,DELISTED,,,,Vertex Energy Nasdaq delisted or financial deterioration. Process last valid Return Price,
US21077C1071,WISH,2022-09-01,DELISTED,,,,ContextLogic (WISH) Nasdaq delisted 2022. Business wind-down. Process last valid Return Price,
CA98980M1095,ZOM,2023-06-01,DELISTED,,,,Zomedica Nasdaq delisted or moved to OTC. Process last valid Return Price,
