date,rate
2022-12-09,1304.265
2022-12-12,1307.07
2022-12-13,1289.575
2022-12-14,1295.91
2022-12-15,1319.505
2022-12-16,1309.955
2022-12-19,1301.645
2022-12-20,1284.065
2022-12-21,1280.53
2022-12-22,1291.94
2022-12-23,1280.815
2022-12-26,1274.91
2022-12-27,1272.25
2022-12-28,1274.675
2022-12-29,1261.24
2022-12-30,1261.945
2023-01-02,1269.925
2023-01-03,1279.59
2023-01-04,1271.39
2023-01-05,1274.585
2023-01-06,1253.855
2023-01-09,1239.695
2023-01-10,1241.225
2023-01-11,1242.55
2023-01-12,1239.51
2023-01-13,1237.69
2023-01-16,1241.98
2023-01-17,1237.39
2023-01-18,1238.11
2023-01-19,1232.625
2023-01-20,1230.355
2023-01-23,1230.38
2023-01-24,1232.985
2023-01-25,1232.975
2023-01-26,1232.26
2023-01-27,1230.04
2023-01-30,1231.88
2023-01-31,1233.72
2023-02-01,1222.33
2023-02-02,1225.195
2023-02-03,1247.86
2023-02-06,1261.46
2023-02-07,1255.805
2023-02-08,1260.87
2023-02-09,1264.87
2023-02-10,1267.97
2023-02-13,1273.31
2023-02-14,1272.58
2023-02-15,1283.97
2023-02-16,1289.935
2023-02-17,1295.92
2023-02-20,1296.42
2023-02-21,1306.16
2023-02-22,1303.045
2023-02-23,1297.94
2023-02-24,1314.815
2023-02-27,1318.395
2023-02-28,1323.435
2023-03-01,1305.83
2023-03-02,1311.39
2023-03-03,1295.78
2023-03-06,1297.855
2023-03-07,1318.34
2023-03-08,1316.77
2023-03-09,1325.82
2023-03-10,1320.635
2023-03-13,1296.94
2023-03-14,1304.945
2023-03-15,1313.38
2023-03-16,1301.855
2023-03-17,1308.785
2023-03-20,1305.245
2023-03-21,1303.825
2023-03-22,1298.705
2023-03-23,1286.63
2023-03-24,1295.905
2023-03-27,1298.35
2023-03-28,1297.465
2023-03-29,1305.83
2023-03-30,1296.97
2023-03-31,1306.48
2023-04-03,1309.08
2023-04-04,1310.535
2023-04-05,1317.365
2023-04-06,1318.99
2023-04-07,1316.34
2023-04-10,1320.99
2023-04-11,1322.455
2023-04-12,1323.075
2023-04-13,1302.05
2023-04-14,1304.375
2023-04-17,1319.51
2023-04-18,1319.545
2023-04-19,1330.135
2023-04-20,1324.04
2023-04-21,1330.385
2023-04-24,1332.935
2023-04-25,1341.315
2023-04-26,1338.435
2023-04-27,1339.57
2023-04-28,1338.17
2023-05-01,1343.075
2023-05-02,1342.635
2023-05-03,1335.31
2023-05-04,1323.265
2023-05-05,1317.96
2023-05-08,1322.28
2023-05-09,1326.335
2023-05-10,1318.14
2023-05-11,1331.135
2023-05-12,1342.46
2023-05-15,1335.785
2023-05-16,1342.775
2023-05-17,1334.715
2023-05-18,1334.73
2023-05-19,1325.21
2023-05-22,1314.165
2023-05-23,1320.24
2023-05-24,1318.77
2023-05-25,1331.2
2023-05-26,1323.425
2023-05-29,1324.965
2023-05-30,1320.155
2023-05-31,1321.16
2023-06-01,1313.15
2023-06-02,1305.97
2023-06-05,1301.36
2023-06-06,1299.615
2023-06-07,1308.655
2023-06-08,1296.625
2023-06-09,1287.685
2023-06-12,1284.86
2023-06-13,1268.015
2023-06-14,1274.385
2023-06-15,1270.4
2023-06-16,1277.175
2023-06-19,1283.255
2023-06-20,1288.745
2023-06-21,1288.74
2023-06-22,1298.59
2023-06-23,1308.81
2023-06-26,1305.42
2023-06-27,1299.48
2023-06-28,1309.315
2023-06-29,1322.885
2023-06-30,1316.3
2023-07-03,1304.655
2023-07-04,1294.805
2023-07-05,1304.0
2023-07-06,1309.39
2023-07-07,1298.365
2023-07-10,1299.805
2023-07-11,1291.87
2023-07-12,1274.795
2023-07-13,1267.155
2023-07-14,1269.305
2023-07-17,1263.72
2023-07-18,1265.32
2023-07-19,1267.94
2023-07-20,1277.53
2023-07-21,1286.645
2023-07-24,1280.875
2023-07-25,1276.585
2023-07-26,1271.415
2023-07-27,1284.165
2023-07-28,1273.28
2023-07-31,1278.28
2023-08-01,1289.425
2023-08-02,1299.47
2023-08-03,1300.215
2023-08-04,1304.535
2023-08-07,1307.87
2023-08-08,1317.02
2023-08-09,1313.555
2023-08-10,1317.265
2023-08-11,1330.605
2023-08-14,1337.865
2023-08-15,1336.87
2023-08-16,1342.445
2023-08-17,1339.75
2023-08-18,1340.165
2023-08-21,1340.65
2023-08-22,1340.805
2023-08-23,1327.92
2023-08-24,1328.345
2023-08-25,1324.525
2023-08-28,1324.21
2023-08-29,1318.605
2023-08-30,1323.79
2023-08-31,1325.46
2023-09-01,1318.455
2023-09-04,1318.41
2023-09-05,1329.95
2023-09-06,1334.53
2023-09-07,1334.775
2023-09-08,1336.365
2023-09-11,1326.375
2023-09-12,1326.845
2023-09-13,1327.995
2023-09-14,1330.02
2023-09-15,1329.42
2023-09-18,1324.045
2023-09-19,1328.995
2023-09-20,1333.29
2023-09-21,1339.57
2023-09-22,1335.465
2023-09-25,1339.445
2023-09-26,1354.07
2023-09-27,1355.94
2023-09-28,1350.655
2023-09-29,1352.36
2023-10-02,1357.17
2023-10-03,1362.045
2023-10-04,1352.55
2023-10-05,1346.345
2023-10-06,1344.66
2023-10-09,1347.665
2023-10-10,1342.62
2023-10-11,1339.69
2023-10-12,1349.395
2023-10-13,1353.1
2023-10-16,1348.265
2023-10-17,1353.575
2023-10-18,1355.355
2023-10-19,1357.26
2023-10-20,1350.35
2023-10-23,1343.525
2023-10-24,1344.34
2023-10-25,1352.895
2023-10-26,1353.57
2023-10-27,1356.26
2023-10-30,1346.495
2023-10-31,1353.15
2023-11-01,1348.82
2023-11-02,1334.335
2023-11-03,1309.73
2023-11-06,1299.305
2023-11-07,1304.95
2023-11-08,1309.16
2023-11-09,1318.265
2023-11-10,1317.67
2023-11-13,1319.53
2023-11-14,1305.105
2023-11-15,1305.11
2023-11-16,1292.84
2023-11-17,1295.645
2023-11-20,1288.39
2023-11-21,1296.02
2023-11-22,1300.95
2023-11-23,1301.225
2023-11-24,1304.035
2023-11-27,1298.45
2023-11-28,1287.965
2023-11-29,1291.22
2023-11-30,1300.825
2023-12-01,1294.875
2023-12-04,1310.67
2023-12-05,1313.63
2023-12-06,1316.2
2023-12-07,1314.055
2023-12-08,1317.805
2023-12-11,1316.73
2023-12-12,1312.265
2023-12-13,1294.88
2023-12-14,1289.95
2023-12-15,1301.9
2023-12-18,1304.025
2023-12-19,1300.84
2023-12-20,1304.15
2023-12-21,1296.36
2023-12-22,1298.29
2023-12-25,1296.12
2023-12-26,1295.46
2023-12-27,1294.18
2023-12-28,1289.8
2023-12-29,1295.055
2024-01-01,1294.54
2024-01-02,1312.045
2024-01-03,1310.405
2024-01-04,1314.57
2024-01-05,1315.035
2024-01-08,1312.17
2024-01-09,1320.59
2024-01-10,1319.37
2024-01-11,1314.61
2024-01-12,1313.75
2024-01-15,1320.7
2024-01-16,1339.005
2024-01-17,1344.99
2024-01-18,1339.725
2024-01-19,1334.38
2024-01-22,1339.545
2024-01-23,1339.045
2024-01-24,1333.12
2024-01-25,1337.01
2024-01-26,1337.33
2024-01-29,1333.615
2024-01-30,1329.365
2024-01-31,1334.955
2024-02-01,1329.74
2024-02-02,1339.145
2024-02-05,1333.935
2024-02-06,1327.265
2024-02-07,1328.685
2024-02-08,1332.56
2024-02-09,1331.535
2024-02-12,1329.3
2024-02-13,1341.215
2024-02-14,1330.88
2024-02-15,1328.96
2024-02-16,1332.58
2024-02-19,1334.89
2024-02-20,1334.115
2024-02-21,1333.355
2024-02-22,1327.51
2024-02-23,1330.995
2024-02-26,1332.37
2024-02-27,1332.32
2024-02-28,1335.545
2024-02-29,1335.815
2024-03-01,1331.91
2024-03-04,1332.045
2024-03-05,1336.585
2024-03-06,1330.12
2024-03-07,1324.205
2024-03-08,1317.5
2024-03-11,1311.64
2024-03-12,1312.99
2024-03-13,1314.05
2024-03-14,1324.705
2024-03-15,1330.985
2024-03-18,1337.01
2024-03-19,1337.485
2024-03-20,1330.59
2024-03-21,1335.405
2024-03-22,1344.915
2024-03-25,1339.64
2024-03-26,1344.1
2024-03-27,1350.545
2024-03-28,1350.88
2024-03-29,1346.36
2024-04-01,1353.675
2024-04-02,1351.915
2024-04-03,1345.475
2024-04-04,1351.65
2024-04-05,1351.27
2024-04-07,1351.27
2024-04-08,1355.03
2024-04-09,1352.415
2024-04-10,1364.025
2024-04-11,1368.425
2024-04-12,1380.59
2024-04-15,1388.05
2024-04-16,1389.95
2024-04-17,1380.135
2024-04-18,1380.52
2024-04-19,1374.925
2024-04-22,1379.33
2024-04-23,1373.83
2024-04-24,1377.795
2024-04-25,1372.16
2024-04-26,1377.93
2024-04-29,1375.395
2024-04-30,1386.025
2024-05-01,1378.72
2024-05-02,1367.97
2024-05-03,1356.13
2024-05-06,1355.5
2024-05-07,1359.445
2024-05-08,1365.1
2024-05-09,1366.085
2024-05-10,1371.115
2024-05-13,1366.86
2024-05-14,1365.485
2024-05-15,1353.285
2024-05-16,1349.9
2024-05-17,1353.225
2024-05-20,1361.455
2024-05-21,1364.5
2024-05-22,1366.22
2024-05-23,1368.74
2024-05-24,1367.31
2024-05-27,1361.37
2024-05-28,1363.92
2024-05-29,1371.58
2024-05-30,1376.21
2024-05-31,1383.115
2024-06-03,1371.7
2024-06-04,1374.42
2024-06-05,1369.965
2024-06-06,1365.15
2024-06-07,1380.075
2024-06-10,1374.81
2024-06-11,1378.88
2024-06-12,1371.085
2024-06-13,1376.49
2024-06-14,1383.34
